8;;;;;;;;SH;SH;SH;SH;SH;SH.P;SH;SH;;;;;;;;;;;;;;;;;FIN
;;;;;;;;SH;SH.P;SH;SH;SH;SH;SH;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH;SH;SH.P;SH.P;SH;SH;SH;SH;;;;;;;;;;;;;;;;;
;;;;;;;;SH;SH;SH.P;SH;SH;SH;SH;SH;;;;;;;;;;;;;;;;;
;;;;;;;;SH;SH;SH.P;SH;SH.P;SH;SH;SH;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH;SH;SH;SH;SH;SH;SH;;;;;;;;;;;;;;;;;
;;;;;;;;SH;SH;SH.P;SH;SH;SH;SH;SH;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;;;;;;;;;;;;;;;;;
SH;SH;SH;SH;SH;SH.P;SH;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH;SH;SH.P;SH;SH;SH;SH;SH;
SH;SH.P;SH.P;SH.P;SH;SH;SH;SH.P;SH.P;SH;SH;SH;SH;SH;SH.P;SH.P;SH.P;SH;SH;SH;SH;SH;SH.P;SH.P;SH;SH;SH.P;SH;SH;SH.P;SH;SH;
SH;SH;SH;SH.P;SH;SH;SH;SH.P;SH.P;SH;SH.P;SH.P;SH;SH;SH;SH.P;SH.P;SH;SH;SH.F;SH;SH.P;SH.P;SH.P;SH;SH.P;SH.P;SH;SH;SH;SH.P;SH;
SH;SH;SH;SH;SH;SH;SH.P;SH.P;SH.P;SH;SH.P;SH.P;SH;SH;SH;SH.P;SH.P;SH;SH;SH;SH;SH.P;SH.P;SH.P;SH;SH;SH;SH.P;SH;SH;SH;SH;
SH.P;SH;SH.P;SH;SH;SH;SH;SH.P;SH.P;SH.S;SH.P;SH;SH;SH.O;SH.P;SH.P;SH.P;SH;SH;SH;SH;SH.P;SH.P;SH.P;SH;SH;SH;SH;SH;SH;SH.P;SH.P;
SH;SH;SH.P;SH;SH;SH.P;SH;SH.P;SH.P;SH.P;SH.P;SH;SH;SH.P;SH.P;SH.P;SH.P;SH;SH;SH;SH.P;SH.O;SH;SH.P;SH.P;SH;SH;SH;SH;SH;SH;SH;
SH;SH;SH;SH;SH;SH;SH;SH.P;SH.P;SH;SH;SH;SH.P;SH;SH;SH;SH;SH;SH;SH;SH;SH;SH;SH.P;SH.P;SH;SH;SH;SH;SH.P;SH;SH;
SH;SH;SH.P;SH.P;SH;SH;SH;SH.P;SH.P;SH;SH;SH;SH.P;SH;SH;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH;SH;SH;SH.P;SH;SH;SH;SH;
;;;;;;;;SH.P;SH;SH;SH;SH.P;SH;SH;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH.P;SH;SH;SH.P;SH;SH;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH;SH;SH.P;SH.P;SH.P;SH;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH;SH;SH;SH;SH.P;SH;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH.O;SH;SH;SH;SH;SH;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH;SH;SH;SH;SH;SH.P;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH.P;SH.P;SH;SH.F;SH;SH.P;SH.P;;;;;;;;;;;;;;;;;
;;;;;;;;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;SH.P;;;;;;;;;;;;;;;;;
